subkey,num_values,min_value,max_value
14f,500,4.3494198643780407e-184,4.7735203280187865e-05
7f,500,2.4908386204304205e-63,4.596961408492145e-05
General KDE,500,1.5363680438375996e-80,4.683577503823221e-05
KDE's sum,500,2.5170842988286904e-63,9.370481736510833e-05
KDE's top,500,2.5170842988286904e-63,4.7735203280187865e-05
x_values,500,-10000.0,47000.0
14f,500,4.3494198643780407e-184,4.7735203280187865e-05
KDE's sum,500,2.5170842988286904e-63,9.370481736510833e-05
KDE's top,500,2.5170842988286904e-63,4.7735203280187865e-05
7f,500,2.4908386204304205e-63,4.596961408492145e-05
